model,family,rmse,persist_h1,skill_vs_h1,crossover_horizon_s
TCN,Temporal,2.4315448180361323,0.33335546676915784,-6.294150120297651,30
PATCHTST,Temporal,2.4343656997819747,0.33335546676915784,-6.302612203650242,30
XGB,Tree,2.477370617734384,0.33335546676915784,-6.431618391456934,30
GRU,Temporal,2.482598947549163,0.33335546676915784,-6.447302339482299,30
TFT,Temporal,2.506180797969004,0.33335546676915784,-6.518043193527362,30
RF,Tree,2.5074804058758975,0.33335546676915784,-6.521941758382138,30
LSTM,Temporal,2.520186866901361,0.33335546676915784,-6.56005861048783,30
RIDGE,Linear,2.7393238377188256,0.33335546676915784,-7.217425873551832,30
ELASTICNET,Linear,2.7538602236764738,0.33335546676915784,-7.261032135955546,30
LASSO,Linear,2.770036501743062,0.33335546676915784,-7.309557748039747,30
LINEAR,Linear,2.7899955992511067,0.33335546676915784,-7.369431064957229,30
