a,b,median_diff,n_a_better,p_raw,p_holm
LINEAR,XGB,0.22687798465393105,1,6.103515625e-05,0.00335693359375
LASSO,XGB,0.27568642153577816,2,0.000152587890625,0.00823974609375
ELASTICNET,XGB,0.28157400862361914,2,0.000213623046875,0.011322021484375
RIDGE,XGB,0.2561076475816063,2,0.00042724609375,0.022216796875
ELASTICNET,TCN,0.3462079871180548,3,0.001678466796875,0.085601806640625
LASSO,TCN,0.41634768318125204,3,0.00213623046875,0.1068115234375
LINEAR,TCN,0.3823493269055498,4,0.004180908203125,0.204864501953125
LASSO,RF,0.21925062734672252,4,0.004180908203125,0.204864501953125
RIDGE,TCN,0.36115131527096267,3,0.004180908203125,0.204864501953125
ELASTICNET,RF,0.2502557746198979,5,0.005157470703125,0.23724365234375
RIDGE,RF,0.21726894231679594,5,0.009185791015625,0.413360595703125
LINEAR,GRU,0.17153022540591412,3,0.009185791015625,0.413360595703125
ELASTICNET,GRU,0.1919076758654672,5,0.010986328125,0.472412109375
LASSO,TFT,0.2468728098045614,2,0.013092041015625,0.54986572265625
LASSO,GRU,0.20467261504154632,5,0.0155029296875,0.6356201171875
LINEAR,RF,0.218920898807071,5,0.0155029296875,0.6356201171875
ELASTICNET,TFT,0.28349987384736575,2,0.0155029296875,0.6356201171875
RIDGE,TFT,0.2673594290638791,3,0.01824951171875,0.6934814453125
RIDGE,GRU,0.16956384692620485,4,0.01824951171875,0.6934814453125
LINEAR,TFT,0.26843943146590177,3,0.02496337890625,0.898681640625
LINEAR,PATCHTST,0.3583468247579543,3,0.02899169921875,1.0
LASSO,PATCHTST,0.3929841962454633,3,0.03863525390625,1.0
ELASTICNET,PATCHTST,0.39277065642685305,3,0.03863525390625,1.0
RIDGE,PATCHTST,0.3770595709654748,3,0.03863525390625,1.0
RIDGE,ELASTICNET,-0.02665781333710404,12,0.0443115234375,1.0
LINEAR,LSTM,0.29695446949629045,3,0.05767822265625,1.0
RIDGE,LSTM,0.3023503193440549,3,0.065399169921875,1.0
LASSO,LSTM,0.320780920444826,3,0.07391357421875,1.0
ELASTICNET,LSTM,0.33227991263820855,3,0.07391357421875,1.0
RIDGE,LASSO,-0.013299816621940908,11,0.129730224609375,1.0
LSTM,TCN,0.1881340837664094,4,0.17535400390625,1.0
RF,PATCHTST,0.1380648615827582,5,0.21142578125,1.0
XGB,PATCHTST,0.09252647970477768,6,0.348388671875,1.0
RF,XGB,0.019384292258088465,8,0.348388671875,1.0
GRU,TCN,0.06909647935879137,7,0.433197021484375,1.0
RF,TCN,0.04790668904881468,7,0.433197021484375,1.0
LSTM,PATCHTST,0.12401390377775712,6,0.433197021484375,1.0
TFT,PATCHTST,0.14948112851126938,5,0.49542236328125,1.0
LINEAR,RIDGE,0.015035467881970632,7,0.49542236328125,1.0
GRU,PATCHTST,0.052123573173492144,6,0.5618896484375,1.0
TCN,TFT,-0.10669203939700989,9,0.5618896484375,1.0
XGB,TCN,0.05485594596687382,8,0.668548583984375,1.0
LSTM,TFT,-0.1132661787957836,10,0.668548583984375,1.0
RF,TFT,0.0357862183590123,7,0.668548583984375,1.0
RF,LSTM,0.04507059395606183,7,0.668548583984375,1.0
TCN,PATCHTST,-0.05140314538212709,11,0.705718994140625,1.0
XGB,LSTM,0.0710643381379159,7,0.743560791015625,1.0
LINEAR,ELASTICNET,-0.002011944913914432,9,0.820892333984375,1.0
GRU,LSTM,0.0618455395499562,7,0.860260009765625,1.0
LASSO,ELASTICNET,0.004064717394520079,6,0.899932861328125,1.0
XGB,GRU,-0.012388017383157424,8,0.899932861328125,1.0
XGB,TFT,0.03530373854445479,6,0.899932861328125,1.0
GRU,TFT,-0.012194769877779121,9,0.899932861328125,1.0
LINEAR,LASSO,-0.0071656347760480354,9,0.979949951171875,1.0
RF,GRU,-0.0011675396752306444,8,0.979949951171875,1.0
