model,family,rmse,corr,r2
TCN,Temporal,2.4315448180361323,0.8881441371656412,0.7824675968087291
PATCHTST,Temporal,2.4343656997819747,0.8952860373908549,0.7861332782349484
XGB,Tree,2.477370617734384,0.8820007017027497,0.7768923271093784
GRU,Temporal,2.482598947549163,0.8845564071678116,0.7755761230352395
TFT,Temporal,2.506180797969004,0.880602232471989,0.7677677575258132
RF,Tree,2.5074804058758975,0.8789960044777231,0.7724072906997809
LSTM,Temporal,2.520186866901361,0.8792661548701566,0.7684624000756157
RIDGE,Linear,2.7393238377188256,0.8511716034800203,0.7238923674288816
ELASTICNET,Linear,2.7538602236764738,0.8504328236274225,0.7221228551939496
LASSO,Linear,2.770036501743062,0.8467577394461605,0.7168118718124478
LINEAR,Linear,2.7899955992511067,0.8448279961498941,0.7092645169068635
