model,family,causal_steady_rmse,causal_transition_rmse,causal_ratio,oracle_steady_rmse,oracle_transition_rmse,oracle_ratio
LINEAR,Linear,2.0325240463367615,2.95305398944379,1.571575284179878,2.1131820509326458,3.6106213575144777,1.8471406706181859
RIDGE,Linear,2.0145409453506327,2.938305984087177,1.5786396903036044,2.141677970937636,3.528211823076477,1.7937645269403277
LASSO,Linear,2.0307064164828703,2.9505030615240173,1.5762327776580083,2.1375720691568887,3.58275414678009,1.8161533364076536
ELASTICNET,Linear,2.03874043144625,2.9550396212434276,1.5685546893903446,2.169755669544441,3.537734326247234,1.7778859587659834
RF,Tree,1.8512391835208701,2.738336783139448,1.5532846356214076,1.9641543123759704,3.173711751487362,1.693876381861733
XGB,Tree,1.8426851441531038,2.718037336284393,1.5601191679510458,1.944128326471412,3.1171236223424357,1.6745229235926469
GRU,Temporal,1.8045579713568272,2.7982782812984706,1.6527019736372055,1.8741600138014536,3.116550254100961,1.7385298260627624
LSTM,Temporal,2.006000187968785,2.660215581540408,1.43870882272387,1.9969361584314496,3.097323692457403,1.6446010500479593
TCN,Temporal,1.9771494167310282,2.7344149761861902,1.4986240798730004,1.93211399669042,2.993366862426014,1.6430079001180102
TFT,Temporal,1.8837454320206604,2.797966101470091,1.6133201472985248,1.8627145083165886,3.254224613935751,1.8224527381880382
PATCHTST,Temporal,1.9422039502611819,2.7479943509460725,1.4838811904811005,1.9477535929433514,2.975202483503152,1.584472513991372
