model,mean_rmse,boot_ci_lo,boot_ci_hi,boot_se
TCN,2.4315448180361328,2.1917532822035173,2.7167148296472434,0.13414218914967133
PATCHTST,2.4343656997819747,2.230783199752886,2.6493326579881136,0.10720542582870082
XGB,2.4773706177343846,2.265416432752445,2.703071167768292,0.11093147111183763
GRU,2.4825989475491634,2.3015748827775435,2.7015070801698124,0.10497576690094611
TFT,2.506180797969004,2.2607548507555006,2.7731333190376075,0.1335644069215339
RF,2.5074804058758984,2.2867459344792174,2.723655402102275,0.10838207368043101
LSTM,2.5201868669013616,2.317833659651977,2.7594614520912044,0.11369561593312387
RIDGE,2.7393238377188256,2.4765549493358647,3.024568451004611,0.14082700494670516
ELASTICNET,2.7538602236764738,2.5012631691895835,3.027094782675358,0.1342331830529767
LASSO,2.770036501743062,2.5047715319558277,3.079850274174327,0.1472710222506788
LINEAR,2.7899955992511067,2.5070324578926706,3.131117567077809,0.16322568174882834
