participant,n,bias_PATCHTST,bias_RF,bias_RIDGE
1,3770,-0.5245,-0.9077,-1.3612
2,3567,1.0652,1.6977,1.1385
3,4253,1.0023,1.0191,1.1296
4,3901,-0.186,0.3619,0.4661
5,3649,-1.0523,-0.8808,-0.8371
6,3875,-0.3032,0.1184,0.066
7,3365,0.9806,0.0938,0.7928
8,3909,1.1078,1.6936,2.0956
9,3724,-0.5085,0.6356,1.0951
10,3768,0.8131,0.2505,0.0533
11,3797,-0.2885,-0.9594,-1.2275
12,3307,1.5786,-1.4733,-2.2068
13,3834,-0.1371,-0.7004,-0.7385
14,3663,2.5923,2.3271,3.5399
15,3589,-1.5626,-0.9305,-0.7771
16,3760,-1.3886,-1.3602,-1.9277
