participant,LINEAR,RIDGE,LASSO,ELASTICNET,RF,XGB,GRU,LSTM,TCN,TFT,PATCHTST
1,2.4605229047379136,2.459477003854852,2.4701383311526293,2.463575681513102,2.497715759995284,2.416977497037028,2.242328238484757,2.073048728358574,1.951422204497607,2.266646700598711,2.1275520495949523
2,2.2388735497745715,2.277344943072674,2.267888108927436,2.3046684363371805,2.3332156415239798,2.2284221070348966,2.2008369949693227,3.8641246255884427,2.323841204937336,1.9707869438899674,1.8551507554016242
3,2.6537447314135747,2.4362104965622895,2.5042009180216023,2.496981549522397,2.2418547712415458,2.073914607537813,2.528878946854903,2.1845638726264203,1.9560585498984517,2.3304445533998828,1.9807430473961667
4,2.298207384849178,2.3888557995883715,2.4484120085212773,2.4294447798086463,2.4333786915118494,2.3070215710332924,2.266876871106057,2.0346443528727294,1.9490261406147762,2.4070099822463877,2.247142376227608
5,2.8406606440309883,2.784850932861637,2.8536989455972477,2.840468514443907,2.291293964950176,2.309802572270834,2.3437362473651966,2.2972415534587456,2.3179467281056922,3.174521311721433,2.3322851444111223
6,1.9968695338750264,1.9562678697518416,2.01187035188019,1.9978406469276668,1.6416049124967365,1.7105744629612734,1.9322235036669937,2.89476490154008,2.3613956077727374,1.6974313833598476,2.61850953358004
7,2.6461183436725513,2.4994434299583657,2.580364636906378,2.5496108089816585,2.764110569166041,2.5962478598684338,2.762805464055904,2.431290270757196,2.2306009340958535,2.3469901628227925,3.3041316911398666
8,3.3790096330344737,3.119904405760122,3.1308311358178353,3.1292643506683224,2.756665139863655,2.853382518032824,2.488154916818534,2.7238148505666566,2.5482360196951803,2.488225994460138,2.6342487069417513
9,2.4031107892092245,2.410200903897789,2.394689677687562,2.4249070305735327,2.179522259614588,2.2356498810230274,2.5772129858815283,2.072764882193092,2.430382706289202,2.134318532162025,1.9348228848583855
10,2.2058633106133154,2.1562004302270927,2.1483333208523825,2.1469917148251687,2.171378936885348,2.184176760994311,2.1750191213459464,2.3722077862715167,2.062615681887868,2.507148097108593,2.262121976050709
11,2.778653598440318,2.8676223072223235,2.7833694415776984,2.8513674882601316,2.5644003304208125,2.6324206387254545,2.854286319696845,2.7770899345033837,2.477961388909827,2.574956238976908,2.540539229798333
12,3.0929945326679813,3.3191433620673547,3.3225459028872577,3.3451354954770562,3.2404312718564463,2.9592259357255744,2.458492861476924,2.0577174967177485,3.3168052783602615,2.829232540852823,3.081316406969071
13,2.954772558176891,2.978861752199049,2.897603046316349,2.961129169453604,2.603114483080769,2.623678829814439,2.533913844305691,2.7115971352156363,2.643177647772837,2.803189181970127,2.449401192837156
14,4.964573741940767,4.407596259148817,4.627450653792076,4.290896750964989,3.2988167490270706,3.6099526565705586,3.903976614815147,2.8042833414618444,4.093222474597458,3.945449460173064,3.189932605699163
15,2.482721773701321,2.453696738820441,2.5500098762567074,2.4819900521245764,1.9925374842222585,1.9409710699454275,2.025821876677779,2.360621300120998,2.067078212704728,1.6673430999999312,2.1767788372915926
16,3.2432325578796126,3.3135047685081935,3.329177671694362,3.3474911089416435,3.109645528157803,2.95551088664362,2.4270183532650806,2.663214838168718,2.1749463084383023,2.95519858376143,2.2151747583140504
